year,subject,prior_band,n_students
2022,Biology,<1,2
2022,Biology,1-<2,3
2022,Biology,2-<3,17
2022,Biology,3-<4,138
2022,Biology,4-<5,1506
2022,Biology,5-<6,8165
2022,Biology,6-<7,17404
2022,Biology,7-<8,18994
2022,Biology,8-<9,14105
2022,Biology,9>=,1201
2022,Biology,Unknown prior,1474
2022,Biology,All,63009
2022,Chemistry,<1,1
2022,Chemistry,1-<2,1
2022,Chemistry,2-<3,14
2022,Chemistry,3-<4,102
2022,Chemistry,4-<5,799
2022,Chemistry,5-<6,4847
2022,Chemistry,6-<7,11568
2022,Chemistry,7-<8,15863
2022,Chemistry,8-<9,15420
2022,Chemistry,9>=,1656
2022,Chemistry,Unknown prior,1574
2022,Chemistry,All,51845
2022,Physics,<1,1
2022,Physics,1-<2,2
2022,Physics,2-<3,4
2022,Physics,3-<4,57
2022,Physics,4-<5,704
2022,Physics,5-<6,3901
2022,Physics,6-<7,8486
2022,Physics,7-<8,10496
2022,Physics,8-<9,9505
2022,Physics,9>=,980
2022,Physics,Unknown prior,1205
2022,Physics,All,35341
2022,Electronics,3-<4,6
2022,Electronics,4-<5,66
2022,Electronics,5-<6,119
2022,Electronics,6-<7,131
2022,Electronics,7-<8,95
2022,Electronics,8-<9,60
2022,Electronics,9>=,12
2022,Electronics,Unknown prior,5
2022,Electronics,All,494
2022,Environmental Science,2-<3,1
2022,Environmental Science,3-<4,15
2022,Environmental Science,4-<5,147
2022,Environmental Science,5-<6,321
2022,Environmental Science,6-<7,353
2022,Environmental Science,7-<8,217
2022,Environmental Science,8-<9,63
2022,Environmental Science,9>=,7
2022,Environmental Science,Unknown prior,20
2022,Environmental Science,All,1144
2022,Geology,3-<4,9
2022,Geology,4-<5,83
2022,Geology,5-<6,198
2022,Geology,6-<7,269
2022,Geology,7-<8,207
2022,Geology,8-<9,102
2022,Geology,9>=,7
2022,Geology,Unknown prior,9
2022,Geology,All,884
2022,Mathematics,<1,2
2022,Mathematics,1-<2,2
2022,Mathematics,2-<3,17
2022,Mathematics,3-<4,169
2022,Mathematics,4-<5,1698
2022,Mathematics,5-<6,8717
2022,Mathematics,6-<7,19663
2022,Mathematics,7-<8,24879
2022,Mathematics,8-<9,22554
2022,Mathematics,9>=,2582
2022,Mathematics,Unknown prior,2863
2022,Mathematics,All,83146
2022,Mathematics (Statistics),2-<3,1
2022,Mathematics (Statistics),3-<4,10
2022,Mathematics (Statistics),4-<5,105
2022,Mathematics (Statistics),5-<6,284
2022,Mathematics (Statistics),6-<7,218
2022,Mathematics (Statistics),7-<8,72
2022,Mathematics (Statistics),8-<9,24
2022,Mathematics (Statistics),Unknown prior,11
2022,Mathematics (Statistics),All,725
2022,Mathematics (Further),1-<2,2
2022,Mathematics (Further),2-<3,1
2022,Mathematics (Further),3-<4,8
2022,Mathematics (Further),4-<5,72
2022,Mathematics (Further),5-<6,354
2022,Mathematics (Further),6-<7,1429
2022,Mathematics (Further),7-<8,3706
2022,Mathematics (Further),8-<9,6588
2022,Mathematics (Further),9>=,980
2022,Mathematics (Further),Unknown prior,731
2022,Mathematics (Further),All,13871
2022,Computer Studies / Computing,1-<2,2
2022,Computer Studies / Computing,2-<3,3
2022,Computer Studies / Computing,3-<4,95
2022,Computer Studies / Computing,4-<5,830
2022,Computer Studies / Computing,5-<6,2695
2022,Computer Studies / Computing,6-<7,4147
2022,Computer Studies / Computing,7-<8,3887
2022,Computer Studies / Computing,8-<9,2603
2022,Computer Studies / Computing,9>=,195
2022,Computer Studies / Computing,Unknown prior,277
2022,Computer Studies / Computing,All,14734
2022,Business Studies:Single,1-<2,3
2022,Business Studies:Single,2-<3,37
2022,Business Studies:Single,3-<4,598
2022,Business Studies:Single,4-<5,5343
2022,Business Studies:Single,5-<6,12765
2022,Business Studies:Single,6-<7,11706
2022,Business Studies:Single,7-<8,5381
2022,Business Studies:Single,8-<9,1264
2022,Business Studies:Single,9>=,59
2022,Business Studies:Single,Unknown prior,795
2022,Business Studies:Single,All,37951
2022,Art and Design,<1,1
2022,Art and Design,1-<2,1
2022,Art and Design,2-<3,23
2022,Art and Design,3-<4,166
2022,Art and Design,4-<5,777
2022,Art and Design,5-<6,1400
2022,Art and Design,6-<7,1391
2022,Art and Design,7-<8,972
2022,Art and Design,8-<9,436
2022,Art and Design,9>=,30
2022,Art and Design,Unknown prior,118
2022,Art and Design,All,5315
2022,Art and Design (Graphics),1-<2,3
2022,Art and Design (Graphics),2-<3,21
2022,Art and Design (Graphics),3-<4,201
2022,Art and Design (Graphics),4-<5,972
2022,Art and Design (Graphics),5-<6,1548
2022,Art and Design (Graphics),6-<7,1362
2022,Art and Design (Graphics),7-<8,671
2022,Art and Design (Graphics),8-<9,194
2022,Art and Design (Graphics),9>=,7
2022,Art and Design (Graphics),Unknown prior,84
2022,Art and Design (Graphics),All,5063
2022,Art and Design (Photography),1-<2,8
2022,Art and Design (Photography),2-<3,65
2022,Art and Design (Photography),3-<4,752
2022,Art and Design (Photography),4-<5,2615
2022,Art and Design (Photography),5-<6,3612
2022,Art and Design (Photography),6-<7,2488
2022,Art and Design (Photography),7-<8,956
2022,Art and Design (Photography),8-<9,240
2022,Art and Design (Photography),9>=,13
2022,Art and Design (Photography),Unknown prior,208
2022,Art and Design (Photography),All,10957
2022,Art and Design (Textiles),1-<2,2
2022,Art and Design (Textiles),2-<3,6
2022,Art and Design (Textiles),3-<4,109
2022,Art and Design (Textiles),4-<5,507
2022,Art and Design (Textiles),5-<6,921
2022,Art and Design (Textiles),6-<7,830
2022,Art and Design (Textiles),7-<8,497
2022,Art and Design (Textiles),8-<9,144
2022,Art and Design (Textiles),9>=,13
2022,Art and Design (Textiles),Unknown prior,77
2022,Art and Design (Textiles),All,3106
2022,Art and Design (3d Studies),2-<3,8
2022,Art and Design (3d Studies),3-<4,77
2022,Art and Design (3d Studies),4-<5,347
2022,Art and Design (3d Studies),5-<6,528
2022,Art and Design (3d Studies),6-<7,507
2022,Art and Design (3d Studies),7-<8,257
2022,Art and Design (3d Studies),8-<9,77
2022,Art and Design (3d Studies),9>=,5
2022,Art and Design (3d Studies),Unknown prior,34
2022,Art and Design (3d Studies),All,1840
2022,Art and Design (Critical Studies),3-<4,4
2022,Art and Design (Critical Studies),4-<5,20
2022,Art and Design (Critical Studies),5-<6,34
2022,Art and Design (Critical Studies),6-<7,25
2022,Art and Design (Critical Studies),7-<8,30
2022,Art and Design (Critical Studies),8-<9,5
2022,Art and Design (Critical Studies),Unknown prior,11
2022,Art and Design (Critical Studies),All,129
2022,Art and Design (Fine Art),1-<2,3
2022,Art and Design (Fine Art),2-<3,33
2022,Art and Design (Fine Art),3-<4,346
2022,Art and Design (Fine Art),4-<5,1653
2022,Art and Design (Fine Art),5-<6,3224
2022,Art and Design (Fine Art),6-<7,3686
2022,Art and Design (Fine Art),7-<8,2864
2022,Art and Design (Fine Art),8-<9,1569
2022,Art and Design (Fine Art),9>=,180
2022,Art and Design (Fine Art),Unknown prior,331
2022,Art and Design (Fine Art),All,13889
2022,History of Art,3-<4,1
2022,History of Art,4-<5,14
2022,History of Art,5-<6,81
2022,History of Art,6-<7,121
2022,History of Art,7-<8,175
2022,History of Art,8-<9,151
