year,subject,subj_code,prior_band,Astar,A,B,C,D,E,U
2022,Biology,1010,<1,,,,50.0,50.0,,
2022,Biology,1010,1-<2,,,,,,,100.0
2022,Biology,1010,2-<3,,,5.88,11.76,11.76,35.29,35.29
2022,Biology,1010,3-<4,0.72,0.72,2.9,12.32,19.57,28.99,34.78
2022,Biology,1010,4-<5,0.07,1.53,3.72,14.74,26.23,36.32,17.4
2022,Biology,1010,5-<6,0.29,3.03,10.61,22.85,31.44,24.94,6.85
2022,Biology,1010,6-<7,1.42,9.97,23.15,30.57,23.18,10.16,1.55
2022,Biology,1010,7-<8,8.11,28.75,31.1,20.9,8.82,2.13,0.19
2022,Biology,1010,8-<9,39.37,38.36,15.96,4.85,1.17,0.21,0.09
2022,Biology,1010,9>=,68.61,24.81,4.66,1.5,0.17,0.25,
2022,Biology,1010,Unknown prior,17.1,24.29,20.69,17.5,10.99,6.45,2.99
2022,Biology,1010,All,13.4,21.48,21.39,19.61,14.33,7.82,1.97
2022,Chemistry,1110,<1,,,100.0,,,,
2022,Chemistry,1110,1-<2,,,,,,,100.0
2022,Chemistry,1110,2-<3,,,,14.29,21.43,21.43,42.86
2022,Chemistry,1110,3-<4,,1.96,4.9,12.75,15.69,31.37,33.33
2022,Chemistry,1110,4-<5,0.25,2.63,6.38,13.27,21.4,34.17,21.9
2022,Chemistry,1110,5-<6,0.37,4.13,10.83,19.66,27.34,27.5,10.17
2022,Chemistry,1110,6-<7,1.5,11.04,20.29,25.56,24.31,14.47,2.83
2022,Chemistry,1110,7-<8,6.73,26.91,28.23,20.87,11.95,4.77,0.55
2022,Chemistry,1110,8-<9,31.51,40.44,17.66,7.56,2.19,0.58,0.06
2022,Chemistry,1110,9>=,59.84,29.35,7.79,2.17,0.72,0.12,
2022,Chemistry,1110,Unknown prior,18.49,27.83,18.61,13.41,11.5,7.12,3.05
2022,Chemistry,1110,All,14.28,24.94,20.35,16.88,13.03,8.24,2.28
2022,Physics,1210,<1,,,,100.0,,,
2022,Physics,1210,1-<2,,50.0,,,,,50.0
2022,Physics,1210,2-<3,,,,25.0,,25.0,50.0
2022,Physics,1210,3-<4,,3.51,5.26,22.81,19.3,29.82,19.3
2022,Physics,1210,4-<5,,1.28,7.53,14.35,24.01,31.82,21.02
2022,Physics,1210,5-<6,0.56,3.26,10.77,22.71,30.35,23.79,8.56
2022,Physics,1210,6-<7,1.93,11.12,22.84,27.83,22.53,11.25,2.49
2022,Physics,1210,7-<8,10.4,28.36,28.74,20.05,9.28,2.75,0.41
2022,Physics,1210,8-<9,40.19,35.28,16.41,6.2,1.44,0.4,0.08
2022,Physics,1210,9>=,67.45,22.55,7.14,2.14,0.51,0.2,
2022,Physics,1210,Unknown prior,21.66,23.24,18.76,14.27,12.45,5.98,3.65
2022,Physics,1210,All,17.03,22.39,20.62,17.68,12.85,7.15,2.27
2022,Electronics,1730,3-<4,,16.67,16.67,16.67,50.0,,
2022,Electronics,1730,4-<5,,7.58,16.67,18.18,39.39,13.64,4.55
2022,Electronics,1730,5-<6,0.84,10.92,23.53,26.89,25.21,10.08,2.52
2022,Electronics,1730,6-<7,11.45,32.06,24.43,12.98,11.45,6.11,1.53
2022,Electronics,1730,7-<8,30.53,41.05,16.84,8.42,2.11,1.05,
2022,Electronics,1730,8-<9,68.33,31.67,,,,,
2022,Electronics,1730,9>=,91.67,,8.33,,,,
2022,Electronics,1730,Unknown prior,40.0,20.0,,20.0,20.0,,
2022,Electronics,1730,All,20.04,24.29,18.02,14.37,15.59,6.07,1.62
2022,Environmental Science,1750,2-<3,,,,,,,100.0
2022,Environmental Science,1750,3-<4,,6.67,6.67,6.67,26.67,33.33,20.0
2022,Environmental Science,1750,4-<5,,,6.8,22.45,34.69,26.53,9.52
2022,Environmental Science,1750,5-<6,,3.12,18.38,33.64,27.41,14.33,3.12
2022,Environmental Science,1750,6-<7,1.7,13.88,35.69,26.35,17.56,3.68,1.13
2022,Environmental Science,1750,7-<8,13.82,26.27,40.09,14.75,5.07,,
2022,Environmental Science,1750,8-<9,41.27,30.16,23.81,4.76,,,
2022,Environmental Science,1750,9>=,57.14,42.86,,,,,
2022,Environmental Science,1750,Unknown prior,5.0,5.0,40.0,20.0,25.0,,5.0
2022,Environmental Science,1750,All,5.86,12.24,26.75,23.95,19.32,9.0,2.88
2022,Geology,1770,3-<4,,,,22.22,22.22,22.22,33.33
2022,Geology,1770,4-<5,,3.61,14.46,27.71,28.92,16.87,8.43
2022,Geology,1770,5-<6,1.52,9.6,17.17,28.79,31.82,10.61,0.51
2022,Geology,1770,6-<7,7.81,17.84,29.0,25.65,14.5,4.83,0.37
2022,Geology,1770,7-<8,18.36,43.0,28.99,6.76,2.42,0.48,
2022,Geology,1770,8-<9,55.88,32.35,6.86,3.92,0.98,,
2022,Geology,1770,9>=,85.71,14.29,,,,,
2022,Geology,1770,Unknown prior,,22.22,11.11,22.22,22.22,22.22,
2022,Geology,1770,All,14.14,22.06,21.72,19.34,15.38,6.0,1.36
2022,Mathematics,2210,<1,,,100.0,,,,
2022,Mathematics,2210,1-<2,,50.0,,,,,50.0
2022,Mathematics,2210,2-<3,,5.88,5.88,11.76,17.65,17.65,41.18
2022,Mathematics,2210,3-<4,1.18,4.73,8.28,14.79,15.98,29.59,25.44
2022,Mathematics,2210,4-<5,1.18,5.36,9.25,13.55,22.73,31.57,16.37
2022,Mathematics,2210,5-<6,1.84,8.18,12.09,20.4,27.06,23.05,7.39
2022,Mathematics,2210,6-<7,5.15,17.46,19.69,23.36,20.53,11.77,2.04
2022,Mathematics,2210,7-<8,17.55,31.49,21.32,16.57,9.45,3.16,0.46
2022,Mathematics,2210,8-<9,48.78,31.79,11.45,5.57,1.94,0.43,0.04
2022,Mathematics,2210,9>=,69.95,22.31,4.76,2.05,0.54,0.27,0.12
2022,Mathematics,2210,Unknown prior,28.33,25.43,15.4,12.4,8.31,6.88,3.25
2022,Mathematics,2210,All,23.07,24.72,16.3,14.93,11.85,7.22,1.92
2022,Mathematics (Statistics),2260,2-<3,,,100.0,,,,
2022,Mathematics (Statistics),2260,3-<4,,,20.0,30.0,30.0,20.0,
2022,Mathematics (Statistics),2260,4-<5,,3.81,9.52,28.57,28.57,20.95,8.57
2022,Mathematics (Statistics),2260,5-<6,1.41,5.99,20.77,27.82,26.06,14.08,3.87
2022,Mathematics (Statistics),2260,6-<7,4.13,16.06,29.82,34.4,10.55,5.05,
2022,Mathematics (Statistics),2260,7-<8,16.67,25.0,34.72,15.28,6.94,1.39,
2022,Mathematics (Statistics),2260,8-<9,54.17,12.5,33.33,,,,
